Acedamic percentage in 10th,percentage in 12th,Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,Interested subjects,interested career area,Suggested Job Role
91,76,2,3,3,4,no,no,information security,game development,cloud computing,cloud computing,CRM Technical Developer
92,82,5,4,3,5,yes,yes,r programming,web technologies,networks,developer,CRM Technical Developer
93,85,1,4,8,5,no,yes,information security,database security,networks,developer,CRM Technical Developer
68,63,4,6,1,1,yes,no,distro making,web technologies,data engineering,testing,CRM Technical Developer
72,79,6,2,4,4,yes,yes,app development,testing,IOT,system developer,CRM Technical Developer
75,73,8,0,4,1,no,no,python,system designing,parallel computing,security,CRM Technical Developer
77,69,1,3,8,6,yes,no,r programming,testing,Computer Architecture,system developer,CRM Technical Developer
79,75,5,5,2,6,no,no,hadoop,data science,cloud computing,system developer,CRM Technical Developer
82,70,9,2,7,8,yes,yes,app development,testing,Management,Business process analyst,CRM Technical Developer
85,72,4,5,1,9,no,no,distro making,web technologies,IOT,system developer,CRM Technical Developer
63,63,3,6,9,2,no,yes,python,database security,IOT,testing,CRM Technical Developer
73,62,6,0,7,1,yes,yes,full stack,web technologies,IOT,system developer,CRM Technical Developer
69,62,6,6,6,5,yes,no,distro making,cloud computing,parallel computing,Business process analyst,CRM Technical Developer
70,68,9,1,3,7,no,yes,machine learning,hacking,Management,cloud computing,CRM Technical Developer
62,72,9,5,3,9,yes,no,r programming,testing,IOT,system developer,CRM Technical Developer
88,75,1,6,4,4,yes,yes,hadoop,game development,parallel computing,security,CRM Technical Developer
90,77,2,6,7,4,no,yes,information security,testing,data engineering,Business process analyst,CRM Technical Developer
91,79,5,1,7,6,no,no,full stack,cloud computing,data engineering,cloud computing,CRM Technical Developer
92,82,7,0,8,1,yes,yes,app development,testing,IOT,security,CRM Technical Developer
93,85,1,6,2,3,yes,no,python,cloud computing,hacking,Business process analyst,CRM Technical Developer
68,63,9,5,3,9,yes,yes,full stack,database security,Management,testing,CRM Technical Developer
72,73,9,0,3,6,no,yes,r programming,game development,networks,testing,CRM Technical Developer
75,69,9,3,6,7,no,yes,distro making,system designing,hacking,Business process analyst,CRM Technical Developer
77,70,3,4,4,8,yes,no,information security,system designing,hacking,testing,CRM Technical Developer
79,62,9,6,8,2,no,no,full stack,system designing,cloud computing,testing,CRM Technical Developer
82,88,3,5,8,7,yes,no,hadoop,game development,Management,system developer,CRM Technical Developer
85,90,7,2,1,3,yes,no,full stack,testing,parallel computing,system developer,CRM Technical Developer
63,91,3,5,4,1,no,no,r programming,cloud computing,Software Engineering,Business process analyst,CRM Technical Developer
73,92,8,6,5,3,yes,yes,machine learning,hacking,Software Engineering,Business process analyst,CRM Technical Developer
69,93,5,2,2,3,yes,yes,r programming,hacking,IOT,security,CRM Technical Developer
70,68,4,4,1,8,no,yes,hadoop,database security,cloud computing,cloud computing,CRM Technical Developer
62,72,5,3,3,7,no,no,python,hacking,hacking,developer,CRM Technical Developer
88,75,6,6,7,9,yes,yes,r programming,database security,hacking,security,CRM Technical Developer
90,77,7,6,1,1,no,yes,information security,cloud computing,Management,Business process analyst,CRM Technical Developer
91,79,5,6,8,4,no,yes,information security,web technologies,Software Engineering,security,CRM Technical Developer
92,82,7,2,5,5,yes,no,distro making,data science,Software Engineering,testing,CRM Technical Developer
93,85,5,3,3,4,no,yes,information security,system designing,data engineering,cloud computing,CRM Technical Developer
68,63,6,5,8,1,yes,yes,information security,data science,programming,system developer,CRM Technical Developer
72,73,1,3,4,4,yes,yes,hadoop,data science,programming,testing,CRM Technical Developer
75,69,4,2,3,4,yes,no,full stack,cloud computing,hacking,developer,CRM Technical Developer
77,70,9,6,9,9,no,no,full stack,cloud computing,Computer Architecture,cloud computing,CRM Technical Developer
79,62,6,6,6,1,yes,yes,shell programming,testing,IOT,cloud computing,CRM Technical Developer
82,88,3,5,4,1,yes,yes,machine learning,testing,cloud computing,security,CRM Technical Developer
85,90,1,0,9,7,no,no,information security,system designing,Computer Architecture,security,CRM Technical Developer
63,91,2,3,3,8,yes,yes,python,data science,cloud computing,security,CRM Technical Developer
73,92,6,2,9,9,no,no,shell programming,testing,networks,system developer,CRM Technical Developer
69,93,5,1,5,1,no,no,hadoop,game development,Computer Architecture,testing,CRM Technical Developer
70,68,8,0,7,4,no,no,r programming,testing,data engineering,Business process analyst,CRM Technical Developer
62,72,8,5,2,1,no,yes,information security,cloud computing,networks,Business process analyst,CRM Technical Developer
88,75,3,2,2,6,yes,no,distro making,cloud computing,data engineering,security,CRM Technical Developer
90,77,8,6,2,6,yes,yes,distro making,web technologies,data engineering,system developer,CRM Technical Developer
91,79,1,5,4,5,no,yes,machine learning,hacking,parallel computing,developer,CRM Technical Developer
92,82,7,1,7,7,yes,no,r programming,testing,parallel computing,security,CRM Technical Developer
93,85,4,3,3,1,no,no,app development,data science,Software Engineering,developer,CRM Technical Developer
68,63,5,1,8,8,yes,yes,shell programming,web technologies,Computer Architecture,system developer,CRM Technical Developer
72,73,8,1,4,9,no,no,hadoop,system designing,hacking,cloud computing,CRM Technical Developer
80,69,4,4,7,6,yes,yes,app development,game development,parallel computing,security,CRM Technical Developer
65,70,6,2,7,7,yes,yes,python,game development,cloud computing,cloud computing,CRM Technical Developer
70,62,8,4,9,3,yes,yes,python,testing,IOT,system developer,CRM Technical Developer
78,88,9,1,5,4,no,yes,app development,game development,networks,testing,CRM Technical Developer
60,90,1,6,9,9,yes,yes,app development,testing,hacking,security,CRM Technical Developer
75,91,5,1,7,1,yes,yes,distro making,database security,Computer Architecture,system developer,CRM Technical Developer
77,92,1,0,8,6,yes,yes,python,system designing,parallel computing,security,CRM Technical Developer
71,93,1,3,7,4,no,no,shell programming,data science,Software Engineering,developer,CRM Technical Developer
79,68,8,1,7,2,no,no,shell programming,hacking,parallel computing,Business process analyst,CRM Technical Developer
74,72,3,3,5,1,no,yes,r programming,hacking,IOT,system developer,CRM Technical Developer
76,75,6,0,3,1,yes,yes,hadoop,hacking,networks,security,CRM Technical Developer
82,77,1,6,4,7,yes,yes,python,database security,programming,testing,CRM Technical Developer
85,79,3,3,3,8,yes,yes,full stack,testing,Management,Business process analyst,CRM Technical Developer
63,82,4,3,3,3,yes,no,information security,cloud computing,parallel computing,system developer,CRM Technical Developer
79,85,7,3,6,7,yes,no,python,web technologies,data engineering,Business process analyst,CRM Technical Developer
73,63,1,2,8,1,yes,no,shell programming,game development,hacking,cloud computing,CRM Technical Developer
69,73,4,5,2,7,yes,no,python,system designing,hacking,Business process analyst,CRM Technical Developer
75,69,7,2,6,9,yes,yes,machine learning,game development,IOT,developer,CRM Technical Developer
70,70,1,6,4,4,no,yes,app development,web technologies,parallel computing,cloud computing,CRM Technical Developer
72,62,1,2,8,2,no,yes,distro making,database security,Computer Architecture,testing,CRM Technical Developer
63,88,8,0,5,4,no,no,full stack,cloud computing,Management,security,CRM Technical Developer
62,90,6,4,1,3,yes,yes,shell programming,game development,hacking,developer,CRM Technical Developer
62,91,1,2,1,4,yes,yes,full stack,testing,Computer Architecture,developer,CRM Technical Developer
68,92,6,3,2,4,yes,no,python,database security,Computer Architecture,cloud computing,CRM Technical Developer
72,93,6,4,6,4,yes,no,python,testing,parallel computing,Business process analyst,CRM Technical Developer
80,81,5,2,7,6,no,no,machine learning,cloud computing,hacking,developer,CRM Technical Developer
65,82,1,1,5,7,yes,no,machine learning,hacking,parallel computing,cloud computing,CRM Technical Developer
70,35,6,0,1,9,yes,no,r programming,testing,networks,cloud computing,CRM Technical Developer
78,39,7,0,9,5,yes,no,information security,cloud computing,networks,testing,CRM Technical Developer
60,40,8,2,4,4,yes,yes,distro making,data science,data engineering,developer,CRM Technical Developer
75,41,4,2,4,8,no,no,r programming,web technologies,cloud computing,security,CRM Technical Developer
77,42,9,1,8,6,yes,yes,distro making,hacking,programming,security,CRM Technical Developer
85,74,4,0,4,8,yes,yes,shell programming,cloud computing,cloud computing,system developer,Database Developer
85,76,3,2,3,3,no,yes,r programming,cloud computing,parallel computing,security,Database Developer
85,82,5,0,2,5,yes,yes,app development,game development,parallel computing,security,Database Developer
85,85,2,0,1,4,no,no,hadoop,testing,networks,security,Database Developer
85,63,3,5,4,9,yes,no,hadoop,system designing,networks,testing,Database Developer
85,79,6,0,6,1,no,yes,full stack,data science,data engineering,Business process analyst,Database Developer
85,73,9,6,5,9,no,yes,distro making,web technologies,Software Engineering,Business process analyst,Database Developer
85,69,5,3,7,6,yes,yes,python,game development,parallel computing,testing,Database Developer
85,75,7,1,2,3,yes,yes,machine learning,game development,IOT,Business process analyst,Database Developer
85,70,3,5,9,2,yes,yes,shell programming,database security,parallel computing,developer,Database Developer
85,72,9,6,7,5,no,no,distro making,cloud computing,cloud computing,testing,Database Developer
85,63,8,4,1,2,no,yes,r programming,cloud computing,data engineering,system developer,Database Developer
85,62,4,6,9,5,no,yes,hadoop,cloud computing,Computer Architecture,developer,Database Developer
85,62,7,5,8,1,yes,yes,full stack,system designing,Software Engineering,system developer,Database Developer
85,68,8,5,5,6,yes,yes,hadoop,game development,data engineering,security,Database Developer
70,72,7,6,3,7,yes,no,python,game development,data engineering,developer,Database Developer
70,80,6,6,5,6,no,no,hadoop,web technologies,cloud computing,Business process analyst,Database Developer
70,65,2,6,1,7,yes,no,shell programming,hacking,Software Engineering,testing,Database Developer
70,70,5,0,5,3,yes,no,r programming,cloud computing,programming,cloud computing,Database Developer
70,78,6,5,8,3,no,yes,r programming,web technologies,networks,Business process analyst,Database Developer
70,60,4,0,5,3,yes,yes,information security,data science,parallel computing,security,Database Developer
70,75,5,5,7,1,yes,yes,hadoop,game development,data engineering,cloud computing,Database Developer
70,77,8,0,2,3,no,no,python,system designing,cloud computing,system developer,Database Developer
70,71,6,6,1,5,yes,yes,r programming,web technologies,cloud computing,developer,Database Developer
70,79,3,0,6,1,no,no,shell programming,hacking,parallel computing,security,Database Developer
70,74,7,3,4,3,yes,no,python,data science,Software Engineering,developer,Database Developer
70,76,6,4,1,7,no,no,machine learning,cloud computing,networks,system developer,Database Developer
70,82,3,4,3,3,yes,no,information security,cloud computing,Computer Architecture,Business process analyst,Database Developer
70,85,6,5,1,4,no,yes,distro making,database security,hacking,Business process analyst,Database Developer
70,63,7,0,4,7,yes,yes,shell programming,testing,networks,security,Database Developer
70,79,4,5,9,5,no,no,python,system designing,data engineering,testing,Database Developer
70,73,9,2,6,9,yes,no,distro making,game development,Software Engineering,system developer,Database Developer
70,69,3,5,5,1,no,yes,python,data science,data engineering,system developer,Database Developer
70,75,7,5,5,5,no,no,machine learning,system designing,IOT,cloud computing,Database Developer
70,70,6,5,5,5,yes,yes,shell programming,hacking,Management,security,Database Developer
70,72,3,6,3,5,no,yes,full stack,game development,data engineering,developer,Database Developer
70,63,9,0,7,9,no,no,full stack,cloud computing,cloud computing,Business process analyst,Database Developer
70,62,9,5,6,3,yes,no,information security,testing,programming,system developer,Database Developer
70,62,2,1,3,6,yes,yes,r programming,testing,IOT,cloud computing,Database Developer
70,68,9,0,6,3,no,yes,r programming,hacking,data engineering,cloud computing,Database Developer
78,72,5,5,9,7,yes,yes,information security,data science,networks,testing,Database Developer
78,80,7,1,1,7,yes,yes,information security,data science,hacking,security,Database Developer
78,65,2,3,9,9,yes,yes,machine learning,testing,hacking,cloud computing,Database Developer
78,70,6,5,2,6,yes,yes,machine learning,hacking,hacking,system developer,Database Developer
78,78,2,1,7,5,no,yes,full stack,hacking,networks,testing,Database Developer
78,60,6,4,1,4,no,no,r programming,hacking,Management,system developer,Database Developer
78,75,8,2,8,1,yes,yes,app development,web technologies,Computer Architecture,cloud computing,Database Developer
78,77,2,0,6,5,yes,yes,machine learning,testing,data engineering,testing,Database Developer
78,71,9,0,5,3,no,no,information security,database security,cloud computing,system developer,Database Developer
78,79,6,2,1,2,yes,no,machine learning,testing,data engineering,developer,Database Developer
78,74,7,5,3,3,no,yes,distro making,testing,programming,developer,Database Developer
78,76,7,5,5,1,yes,yes,r programming,cloud computing,parallel computing,developer,Database Developer
78,82,2,3,2,9,yes,no,shell programming,data science,Software Engineering,cloud computing,Database Developer
78,85,6,5,6,8,no,no,machine learning,cloud computing,Management,developer,Database Developer
78,63,5,2,8,6,no,no,app development,database security,hacking,Business process analyst,Database Developer
78,79,6,4,5,4,yes,no,r programming,database security,programming,system developer,Database Developer
78,73,4,0,2,8,no,yes,machine learning,game development,Management,testing,Database Developer
78,69,9,0,6,2,no,no,machine learning,database security,hacking,system developer,Database Developer
78,75,2,0,1,1,yes,no,machine learning,web technologies,parallel computing,cloud computing,Database Developer
78,70,3,6,2,7,yes,yes,information security,data science,data engineering,cloud computing,Database Developer
78,72,3,3,6,1,no,no,information security,hacking,IOT,security,Database Developer
78,63,9,0,1,5,yes,yes,distro making,cloud computing,networks,Business process analyst,Database Developer
78,62,1,1,4,8,yes,yes,app development,system designing,Management,system developer,Database Developer
78,62,7,6,7,8,no,yes,python,database security,hacking,testing,Database Developer
78,68,4,1,6,9,yes,yes,full stack,game development,Software Engineering,security,Database Developer
82,72,9,5,2,8,no,yes,information security,system designing,hacking,system developer,Database Developer
82,80,3,0,5,1,no,yes,hadoop,web technologies,programming,Business process analyst,Database Developer
82,65,1,5,8,9,yes,no,distro making,system designing,parallel computing,Business process analyst,Database Developer
82,70,1,2,3,6,yes,no,r programming,data science,programming,developer,Database Developer
82,78,7,1,5,6,yes,yes,distro making,testing,Software Engineering,testing,Database Developer
82,60,9,4,8,1,no,yes,information security,cloud computing,IOT,security,Database Developer
82,75,1,4,5,9,no,yes,hadoop,data science,Software Engineering,cloud computing,Database Developer
82,77,9,0,9,6,no,no,information security,testing,parallel computing,testing,Database Developer
82,71,7,4,1,9,no,yes,python,web technologies,networks,system developer,Database Developer
82,79,8,1,2,9,no,no,r programming,testing,parallel computing,testing,Database Developer
82,74,6,3,4,6,no,no,r programming,game development,hacking,system developer,Database Developer
82,76,8,0,6,6,yes,no,r programming,game development,data engineering,system developer,Database Developer
82,82,6,4,9,1,yes,yes,app development,testing,parallel computing,developer,Database Developer
82,85,3,5,9,5,yes,yes,shell programming,web technologies,Management,Business process analyst,Database Developer
82,63,3,1,4,9,yes,yes,information security,system designing,cloud computing,developer,Database Developer
82,79,2,1,7,7,no,yes,r programming,game development,parallel computing,cloud computing,Database Developer
82,73,8,1,7,5,no,yes,information security,database security,networks,security,Database Developer
82,69,2,4,5,3,no,yes,shell programming,cloud computing,Software Engineering,developer,Database Developer
82,75,4,6,2,8,no,no,distro making,web technologies,parallel computing,system developer,Database Developer
82,70,8,1,8,4,yes,no,python,system designing,IOT,system developer,Database Developer
82,72,2,0,3,4,no,yes,machine learning,system designing,IOT,security,Database Developer
82,63,4,6,8,1,yes,no,app development,testing,programming,security,Database Developer
68,62,1,4,3,3,no,yes,shell programming,cloud computing,Software Engineering,developer,Database Developer
72,62,3,6,9,3,no,yes,python,cloud computing,Computer Architecture,Business process analyst,Database Developer
75,68,6,2,1,7,yes,yes,full stack,game development,data engineering,Business process analyst,Database Developer
77,72,5,0,9,3,no,yes,distro making,system designing,networks,developer,Database Developer
79,80,2,1,3,7,yes,yes,machine learning,system designing,programming,cloud computing,Database Developer
82,65,4,3,8,8,yes,no,hadoop,game development,networks,cloud computing,Database Developer
85,70,7,5,7,5,yes,no,hadoop,web technologies,Computer Architecture,security,Database Developer
63,78,5,4,7,7,no,no,hadoop,database security,data engineering,developer,Database Developer
73,60,6,4,2,5,yes,no,r programming,system designing,cloud computing,system developer,Database Developer
69,75,2,3,6,3,no,no,hadoop,testing,Software Engineering,cloud computing,Database Developer
70,77,6,3,6,6,yes,yes,full stack,hacking,Software Engineering,testing,Database Developer
62,71,2,1,7,7,yes,yes,app development,data science,parallel computing,cloud computing,Database Developer
88,79,1,3,5,5,yes,yes,r programming,web technologies,programming,developer,Database Developer
90,74,6,4,4,6,no,yes,shell programming,game development,hacking,security,Database Developer
91,76,1,1,2,2,yes,no,r programming,cloud computing,Software Engineering,security,Database Developer
92,82,7,4,8,2,no,no,r programming,system designing,Computer Architecture,testing,Database Developer
93,85,1,0,3,9,no,no,app development,data science,Management,testing,Database Developer
68,63,8,5,5,6,yes,yes,r programming,hacking,Software Engineering,cloud computing,Database Developer
72,79,2,2,5,9,no,no,hadoop,database security,parallel computing,system developer,Database Developer
75,73,9,3,7,1,yes,no,python,hacking,Software Engineering,Business process analyst,Database Developer
77,69,3,4,1,6,no,yes,full stack,web technologies,Software Engineering,developer,Database Developer
79,75,8,1,9,6,yes,no,python,web technologies,Management,cloud computing,Database Developer
82,70,4,4,4,2,yes,yes,information security,hacking,Software Engineering,developer,Database Developer
85,72,9,6,4,9,no,no,shell programming,hacking,data engineering,cloud computing,Database Developer
63,63,4,1,8,8,no,no,app development,system designing,parallel computing,testing,Database Developer
73,62,6,3,6,6,yes,yes,python,web technologies,data engineering,cloud computing,Database Developer
69,62,4,0,5,5,yes,yes,full stack,data science,Software Engineering,cloud computing,Database Developer
70,68,4,5,6,5,no,yes,machine learning,testing,Software Engineering,developer,Database Developer
62,72,5,6,7,7,no,yes,full stack,cloud computing,data engineering,system developer,Database Developer
88,75,6,2,4,8,yes,yes,machine learning,database security,Computer Architecture,cloud computing,Database Developer
90,77,3,6,4,1,yes,yes,hadoop,system designing,hacking,Business process analyst,Database Developer
91,79,6,1,6,3,no,no,python,game development,Software Engineering,cloud computing,Database Developer
92,82,5,5,5,7,yes,yes,distro making,game development,Management,Business process analyst,Database Developer
93,85,7,4,9,5,yes,yes,shell programming,system designing,data engineering,system developer,Database Developer
68,63,7,1,9,3,yes,yes,shell programming,data science,networks,cloud computing,Database Developer
72,73,5,6,1,1,yes,yes,r programming,web technologies,hacking,security,Database Developer
75,69,1,2,2,7,yes,yes,r programming,data science,data engineering,system developer,Database Developer
77,70,2,0,1,2,yes,no,python,system designing,cloud computing,testing,Database Developer
79,62,5,6,6,1,no,no,full stack,cloud computing,Management,Business process analyst,Database Developer
82,88,3,6,5,6,no,no,distro making,hacking,Software Engineering,system developer,Database Developer
85,90,7,3,4,9,no,yes,app development,game development,networks,testing,Database Developer
63,91,7,4,9,6,yes,yes,hadoop,game development,Software Engineering,Business process analyst,Database Developer
73,92,5,2,3,9,yes,no,r programming,hacking,Management,cloud computing,Database Developer
69,93,3,2,1,2,no,yes,distro making,hacking,parallel computing,testing,Database Developer
70,68,8,2,8,4,no,yes,shell programming,database security,data engineering,Business process analyst,Database Developer
62,72,9,6,7,5,no,no,r programming,database security,Management,testing,Database Developer
88,75,7,1,2,9,yes,yes,full stack,system designing,Software Engineering,testing,Database Developer
90,77,6,1,2,6,no,no,r programming,game development,data engineering,testing,Database Developer
91,79,3,6,3,9,yes,yes,distro making,cloud computing,programming,security,Database Developer
92,82,2,3,7,1,yes,no,full stack,testing,networks,system developer,Database Developer
93,85,4,4,4,4,yes,yes,distro making,hacking,programming,security,Database Developer
68,63,8,0,6,2,yes,no,information security,system designing,data engineering,Business process analyst,Database Developer
72,73,6,1,1,7,yes,no,full stack,system designing,cloud computing,cloud computing,Database Developer
75,69,1,5,3,4,yes,no,distro making,hacking,hacking,system developer,Database Developer
77,70,4,6,3,7,yes,no,distro making,system designing,IOT,testing,Database Developer
79,62,4,4,3,1,yes,yes,distro making,testing,data engineering,Business process analyst,Database Developer
82,88,7,3,3,2,yes,yes,r programming,hacking,cloud computing,system developer,Database Developer
85,90,3,2,8,5,yes,yes,hadoop,game development,Software Engineering,Business process analyst,Database Developer
63,91,2,1,5,6,yes,yes,hadoop,database security,networks,system developer,Database Developer
73,92,6,6,4,7,yes,no,full stack,data science,hacking,testing,Database Developer
69,93,8,4,2,8,yes,no,hadoop,system designing,networks,cloud computing,Database Developer
70,68,3,4,9,4,no,no,information security,data science,IOT,cloud computing,Database Developer
62,72,1,4,1,7,yes,no,information security,hacking,data engineering,testing,Database Developer
88,75,9,2,8,7,yes,yes,hadoop,hacking,data engineering,testing,Database Developer
90,77,6,6,5,6,yes,yes,r programming,database security,Software Engineering,system developer,Database Developer
91,79,9,2,3,5,no,yes,hadoop,cloud computing,parallel computing,system developer,Database Developer
92,82,8,6,5,4,no,yes,hadoop,system designing,programming,testing,Database Developer
93,85,8,2,7,3,no,no,app development,web technologies,cloud computing,testing,Database Developer
68,63,2,2,3,1,no,no,r programming,data science,programming,cloud computing,Database Developer
72,73,3,2,7,9,no,yes,full stack,cloud computing,Software Engineering,testing,Database Developer
80,69,4,0,5,7,yes,no,r programming,hacking,parallel computing,cloud computing,Database Developer
65,70,5,0,8,6,yes,no,information security,cloud computing,parallel computing,testing,Database Developer
70,62,2,5,3,9,yes,no,hadoop,web technologies,Software Engineering,cloud computing,Database Developer
78,88,4,1,1,1,no,no,information security,database security,Computer Architecture,cloud computing,Database Developer
60,90,2,5,2,2,no,no,python,testing,IOT,testing,Database Developer
75,91,6,0,2,7,no,yes,python,database security,Software Engineering,developer,Database Developer
77,92,1,2,8,8,no,yes,information security,system designing,IOT,developer,Database Developer
71,93,1,5,2,8,no,no,python,system designing,parallel computing,developer,Database Developer
79,68,6,5,7,2,no,no,r programming,database security,networks,testing,Database Developer
74,72,9,3,5,2,yes,yes,machine learning,game development,cloud computing,security,Database Developer
76,75,2,6,3,5,no,no,python,cloud computing,networks,system developer,Database Developer
82,77,1,4,9,6,no,yes,information security,hacking,networks,system developer,Database Developer
85,79,9,5,5,2,yes,no,r programming,hacking,parallel computing,Business process analyst,Database Developer
63,82,4,6,1,3,yes,yes,app development,testing,Software Engineering,testing,Database Developer
79,85,2,2,2,1,yes,no,app development,database security,data engineering,Business process analyst,Database Developer
73,63,1,2,9,3,yes,no,machine learning,database security,IOT,security,Database Developer
69,73,6,0,3,4,yes,no,python,data science,programming,system developer,Database Developer
75,69,7,3,7,1,no,yes,hadoop,hacking,cloud computing,system developer,Database Developer
70,70,8,3,1,7,yes,no,app development,game development,data engineering,testing,Database Developer
72,62,9,4,2,9,no,yes,full stack,cloud computing,data engineering,Business process analyst,Database Developer
63,88,4,6,2,5,yes,yes,information security,testing,data engineering,system developer,Database Developer
62,90,7,3,9,9,no,yes,hadoop,system designing,Computer Architecture,system developer,Database Developer
62,91,9,3,5,9,yes,yes,r programming,system designing,Software Engineering,cloud computing,Database Developer
68,92,9,6,7,6,yes,no,hadoop,hacking,Software Engineering,security,Database Developer
72,93,5,3,3,2,yes,no,app development,testing,IOT,system developer,Database Developer
80,81,3,5,1,2,no,no,r programming,testing,hacking,system developer,Database Developer
65,82,7,4,1,6,yes,no,machine learning,database security,data engineering,system developer,Database Developer
70,35,9,0,6,7,yes,no,hadoop,hacking,cloud computing,Business process analyst,Database Developer
78,39,2,1,4,4,yes,yes,information security,game development,hacking,testing,Database Developer
60,40,6,1,7,5,yes,no,r programming,testing,Computer Architecture,developer,Database Developer
75,41,9,5,9,3,yes,no,app development,web technologies,IOT,cloud computing,Database Developer
77,42,3,6,6,8,no,no,r programming,testing,Software Engineering,system developer,Database Developer
75,68,5,0,2,7,no,yes,python,database security,IOT,testing,Database Developer
75,72,6,6,7,8,yes,no,machine learning,web technologies,Computer Architecture,testing,Database Developer
75,80,2,0,2,2,yes,no,machine learning,system designing,IOT,testing,Database Developer
75,65,1,1,5,2,yes,yes,python,data science,data engineering,system developer,Database Developer
75,70,4,4,9,3,no,yes,hadoop,hacking,hacking,testing,Database Developer
75,78,6,3,5,3,yes,no,information security,hacking,cloud computing,testing,Database Developer
75,60,6,6,5,8,yes,no,information security,testing,Software Engineering,cloud computing,Database Developer
75,75,4,2,3,7,yes,no,app development,hacking,cloud computing,developer,Database Developer
75,77,9,4,5,9,yes,yes,information security,database security,Software Engineering,Business process analyst,Database Developer
75,71,1,3,5,3,no,yes,shell programming,hacking,programming,cloud computing,Database Developer
75,79,7,2,5,6,yes,yes,machine learning,game development,hacking,system developer,Database Developer
75,74,2,2,1,2,yes,no,machine learning,hacking,Management,Business process analyst,Database Developer
75,76,1,0,2,7,no,yes,hadoop,web technologies,programming,Business process analyst,Database Developer
75,82,3,6,4,3,no,yes,information security,data science,networks,security,Database Developer
75,85,3,5,5,4,no,no,r programming,cloud computing,data engineering,Business process analyst,Database Developer
75,63,7,3,4,8,yes,no,python,web technologies,hacking,cloud computing,Database Developer
75,79,5,5,5,1,yes,no,machine learning,web technologies,cloud computing,Business process analyst,Database Developer
75,73,4,2,3,4,no,no,distro making,hacking,data engineering,cloud computing,Database Developer
75,69,3,4,2,5,no,yes,distro making,game development,networks,security,Database Developer
75,75,9,1,2,3,no,no,hadoop,cloud computing,networks,system developer,Database Developer
75,70,8,6,8,9,yes,yes,hadoop,game development,Software Engineering,testing,Database Developer
75,72,6,5,4,6,no,no,hadoop,testing,networks,cloud computing,Database Developer
75,63,9,3,9,1,yes,yes,python,web technologies,Software Engineering,cloud computing,Database Developer
75,62,8,2,1,9,yes,no,python,testing,cloud computing,testing,Database Developer
75,62,3,5,8,3,yes,yes,shell programming,testing,Software Engineering,system developer,Database Developer
75,68,6,6,9,2,yes,yes,full stack,database security,IOT,Business process analyst,Database Developer
80,72,3,6,5,6,no,yes,full stack,web technologies,Management,Business process analyst,Database Developer
80,80,5,5,3,5,no,yes,shell programming,game development,hacking,developer,Database Developer
80,65,5,3,7,3,yes,yes,information security,database security,IOT,security,Database Developer
80,70,6,4,3,1,no,no,python,database security,Computer Architecture,Business process analyst,Database Developer
80,78,5,4,8,5,yes,no,distro making,data science,networks,Business process analyst,Database Developer
80,60,8,3,8,5,yes,no,hadoop,database security,cloud computing,cloud computing,Database Developer
80,75,9,0,4,1,no,yes,shell programming,testing,networks,testing,Database Developer
80,77,8,6,8,9,no,no,app development,game development,Management,Business process analyst,Database Developer
80,71,5,2,8,1,no,yes,full stack,data science,programming,cloud computing,Database Developer
80,79,9,6,3,6,yes,no,distro making,hacking,parallel computing,Business process analyst,Database Developer
80,74,5,4,2,7,no,yes,distro making,web technologies,cloud computing,Business process analyst,Database Developer
80,76,3,0,1,9,no,yes,hadoop,web technologies,parallel computing,Business process analyst,Database Developer
80,82,9,0,1,5,yes,no,machine learning,hacking,data engineering,system developer,Database Developer
80,85,6,4,3,1,no,yes,shell programming,data science,Computer Architecture,cloud computing,Database Developer
80,63,6,3,9,6,no,yes,python,game development,IOT,developer,Database Developer
80,79,5,2,6,2,yes,no,full stack,database security,hacking,Business process analyst,Database Developer
80,73,2,2,2,6,no,no,app development,data science,networks,developer,Database Developer
80,69,5,3,6,9,no,no,python,testing,Software Engineering,system developer,Database Developer
80,75,2,0,7,1,yes,yes,information security,web technologies,Management,system developer,Database Developer
80,70,3,2,6,5,yes,no,full stack,database security,networks,system developer,Database Developer
80,72,1,2,2,2,no,no,r programming,hacking,Management,system developer,Database Developer
80,63,3,0,8,1,no,no,shell programming,web technologies,Management,developer,Database Developer
80,62,6,5,5,6,no,no,information security,data science,IOT,cloud computing,Database Developer
80,62,2,3,2,6,no,no,app development,testing,IOT,Business process analyst,Database Developer
80,68,4,3,4,3,no,yes,r programming,database security,IOT,cloud computing,Database Developer
85,72,4,5,1,2,no,no,shell programming,cloud computing,hacking,security,Database Developer
85,80,5,4,8,1,no,yes,r programming,database security,Management,Business process analyst,Database Developer
85,65,6,2,6,7,no,no,full stack,testing,Software Engineering,Business process analyst,Database Developer
85,70,3,4,3,2,no,yes,hadoop,testing,IOT,cloud computing,Database Developer
85,78,2,2,3,5,no,no,distro making,testing,Computer Architecture,cloud computing,Database Developer
85,60,8,5,7,8,no,no,distro making,database security,parallel computing,Business process analyst,Database Developer
85,75,2,5,7,6,yes,no,information security,system designing,Management,cloud computing,Database Developer
85,77,3,1,4,9,no,no,machine learning,system designing,cloud computing,system developer,Database Developer
85,71,4,3,7,1,no,yes,r programming,data science,IOT,Business process analyst,Database Developer
85,79,6,1,5,9,no,no,machine learning,cloud computing,networks,system developer,Database Developer
